"No.","Time","Source","Destination","Protocol","Length","Info"
"166","32.711532","192.168.92.34","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=172/44032, ttl=128 (reply in 167)"
"167","32.746062","8.8.8.8","192.168.92.34","ICMP","74","Echo (ping) reply    id=0x0001, seq=172/44032, ttl=53 (request in 166)"
"175","33.728217","192.168.92.34","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=173/44288, ttl=128 (reply in 176)"
"176","33.785753","8.8.8.8","192.168.92.34","ICMP","74","Echo (ping) reply    id=0x0001, seq=173/44288, ttl=53 (request in 175)"
"202","34.747039","192.168.92.34","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=174/44544, ttl=128 (reply in 204)"
"204","34.786863","8.8.8.8","192.168.92.34","ICMP","74","Echo (ping) reply    id=0x0001, seq=174/44544, ttl=53 (request in 202)"
"205","35.766996","192.168.92.34","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=175/44800, ttl=128 (reply in 206)"
"206","35.826893","8.8.8.8","192.168.92.34","ICMP","74","Echo (ping) reply    id=0x0001, seq=175/44800, ttl=53 (request in 205)"
"207","36.782403","192.168.92.34","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=176/45056, ttl=128 (reply in 208)"
"208","36.831071","8.8.8.8","192.168.92.34","ICMP","74","Echo (ping) reply    id=0x0001, seq=176/45056, ttl=53 (request in 207)"
"213","37.802000","192.168.92.34","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=177/45312, ttl=128 (reply in 214)"
"214","37.866410","8.8.8.8","192.168.92.34","ICMP","74","Echo (ping) reply    id=0x0001, seq=177/45312, ttl=53 (request in 213)"
"217","38.815225","192.168.92.34","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=178/45568, ttl=128 (reply in 218)"
"218","38.867253","8.8.8.8","192.168.92.34","ICMP","74","Echo (ping) reply    id=0x0001, seq=178/45568, ttl=53 (request in 217)"
"221","39.828036","192.168.92.34","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=179/45824, ttl=128 (reply in 222)"
"222","39.865943","8.8.8.8","192.168.92.34","ICMP","74","Echo (ping) reply    id=0x0001, seq=179/45824, ttl=53 (request in 221)"
"226","40.891784","192.168.92.34","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=180/46080, ttl=128 (reply in 227)"
"227","40.946078","8.8.8.8","192.168.92.34","ICMP","74","Echo (ping) reply    id=0x0001, seq=180/46080, ttl=53 (request in 226)"
"228","41.953666","192.168.92.34","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=181/46336, ttl=128 (reply in 229)"
"229","41.986199","8.8.8.8","192.168.92.34","ICMP","74","Echo (ping) reply    id=0x0001, seq=181/46336, ttl=53 (request in 228)"
"230","42.965750","192.168.92.34","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=182/46592, ttl=128 (reply in 231)"
"231","43.027810","8.8.8.8","192.168.92.34","ICMP","74","Echo (ping) reply    id=0x0001, seq=182/46592, ttl=53 (request in 230)"
"233","43.980226","192.168.92.34","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=183/46848, ttl=128 (reply in 234)"
"234","44.026441","8.8.8.8","192.168.92.34","ICMP","74","Echo (ping) reply    id=0x0001, seq=183/46848, ttl=53 (request in 233)"
"241","44.995450","192.168.92.34","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=184/47104, ttl=128 (reply in 242)"
"242","45.067071","8.8.8.8","192.168.92.34","ICMP","74","Echo (ping) reply    id=0x0001, seq=184/47104, ttl=53 (request in 241)"
"243","46.014276","192.168.92.34","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=185/47360, ttl=128 (reply in 244)"
"244","46.068587","8.8.8.8","192.168.92.34","ICMP","74","Echo (ping) reply    id=0x0001, seq=185/47360, ttl=53 (request in 243)"
"245","47.030264","192.168.92.34","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=186/47616, ttl=128 (reply in 246)"
"246","47.072234","8.8.8.8","192.168.92.34","ICMP","74","Echo (ping) reply    id=0x0001, seq=186/47616, ttl=53 (request in 245)"
"250","48.048007","192.168.92.34","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=187/47872, ttl=128 (reply in 251)"
"251","48.105970","8.8.8.8","192.168.92.34","ICMP","74","Echo (ping) reply    id=0x0001, seq=187/47872, ttl=53 (request in 250)"
"252","49.065269","192.168.92.34","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=188/48128, ttl=128 (reply in 253)"
"253","49.107734","8.8.8.8","192.168.92.34","ICMP","74","Echo (ping) reply    id=0x0001, seq=188/48128, ttl=53 (request in 252)"
"261","50.083772","192.168.92.34","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=189/48384, ttl=128 (reply in 262)"
"262","50.146097","8.8.8.8","192.168.92.34","ICMP","74","Echo (ping) reply    id=0x0001, seq=189/48384, ttl=53 (request in 261)"
"270","51.097474","192.168.92.34","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=190/48640, ttl=128 (reply in 271)"
